City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Radhanpur,IN,82.58,overcast clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
92,Sur,OM,86.86,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
93,Nantucket,US,79.0,clear sky,41.2835,-70.0995,Jared Coffin House
94,Dingle,PH,82.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Zhangjiakou,CN,86.61,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
96,Shinshiro,JP,84.36,overcast clouds,34.9,137.5,丸登旅館
97,Pahrump,US,89.26,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
98,Chai Nat,TH,77.92,overcast clouds,15.1167,100.1,Thai Boxing ROSEINN RESORT
99,Eyl,SO,76.17,clear sky,7.9803,49.8164,Amiin Hotel
100,Hirara,JP,84.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
101,Padang,ID,82.45,few clouds,-0.9492,100.3543,Mercure Padang
102,Faanui,PF,77.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Dubuque,US,79.88,clear sky,42.4833,-90.8668,American Inn and Suites
104,Owosso,US,77.58,clear sky,42.9978,-84.1766,Comstock Inn and Conference Center
105,Isla Vista,US,80.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
106,Cocorit,MX,86.34,overcast clouds,27.5833,-109.9667,Kaba Motel
107,Powell,US,75.81,broken clouds,40.1578,-83.0752,The Brig
108,Gazalkent,UZ,79.92,clear sky,41.5581,69.7708,Khumson Sanatoriy
109,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
110,Kavaratti,IN,80.22,light rain,10.5669,72.642,Green leaf
111,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
112,Gwadar,PK,79.92,overcast clouds,25.1216,62.3254,Sadaf Resort
113,Fenton,US,77.68,scattered clouds,42.7978,-83.7049,Fairfield Inn & Suites by Marriott Flint Fenton
114,Pandan,PH,80.04,moderate rain,14.0453,124.1694,Bonifacio Lodge
115,Tura,IN,75.34,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
116,High Rock,BS,84.11,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
117,Safaga,EG,88.68,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
118,Digapahandi,IN,81.99,overcast clouds,19.3667,84.5833,Tiffin Hotel
119,Laiya,PH,80.1,light rain,13.675,121.3903,Blue Coral Beach Resort
120,Pangai,TO,77.09,light rain,-19.8,-174.35,Ha'apai Beach Resort
121,Fredericksburg,US,75.15,scattered clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
122,Kandrian,PG,85.42,light rain,-6.2167,149.55,Kandrian Station
123,Komsomolskiy,UZ,80.47,clear sky,40.4272,71.7189,Ikathouse
124,Ambulu,ID,79.79,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
125,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
126,Seydi,TM,80.37,clear sky,39.4816,62.9137,Seydi oteli
127,Tongzi,CN,85.82,clear sky,28.7829,105.0877,Jiayuan Hotel
128,Trebinje,BA,84.56,clear sky,42.7119,18.3442,Hotel Aćimović
129,Beidao,CN,85.23,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
130,Lakatoro,VU,82.9,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
131,Nador,MA,75.45,scattered clouds,35.174,-2.9287,Hôtel La Giralda
132,Pundaguitan,PH,82.83,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
133,Codajas,BR,76.55,broken clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
134,Sabang,ID,82.47,overcast clouds,5.8933,95.3214,Hotel Citra
135,Afua,BR,75.43,few clouds,-0.1567,-50.3867,Hotel Dias
136,Labuhan,ID,81.54,few clouds,-6.8844,112.2051,DoubleFAG
137,Nuevo Progreso,MX,82.89,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
138,Banamba,ML,75.24,overcast clouds,13.55,-7.45,Kassela de Banamba
139,Barahona,DO,80.55,clear sky,18.2085,-71.1008,Hotel Caribe
140,Jacmel,HT,78.64,few clouds,18.2342,-72.5347,Historic Hotel Florita
141,Baturaja,ID,80.8,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
142,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
143,Tan An,VN,77.02,overcast clouds,10.5333,106.4167,Mỹ Đình
144,Sulangan,PH,82.33,overcast clouds,11.1373,123.7228,Maia's Beach Resort
145,Portland,US,82.29,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
146,Mandal,IN,79.75,overcast clouds,25.45,74.5667,Surpanch saab ki vatika
147,Samarai,PG,80.73,scattered clouds,-10.6167,150.6667,Nuli Sapi
148,Pasighat,IN,86.4,few clouds,28.0667,95.3333,Siang Guest House
149,Pleasanton,US,79.52,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
150,Acarau,BR,77.56,clear sky,-2.8856,-40.12,castelo pizzaria
151,Tezu,IN,86.23,scattered clouds,27.9167,96.1667,Circuit House
152,Catuday,PH,80.53,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
153,Khasan,RU,80.8,scattered clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
154,Lufilufi,WS,81.01,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
155,Traverse City,US,75.83,few clouds,44.7631,-85.6206,Bayshore Resort
156,Palmer,US,80.15,scattered clouds,42.1584,-72.3287,Wedgewood Motel
157,Urucara,BR,75.78,few clouds,-2.5364,-57.76,Pousada Maria Bonita
158,Palestrina,IT,76.24,scattered clouds,41.8355,12.889,Altavista
159,Rayong,TH,84.88,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
160,Rock Sound,BS,83.39,clear sky,24.9,-76.2,Pink Corral Bay Property
161,Mogadishu,SO,75.43,light rain,2.0371,45.3438,Hotel Juba
162,Kumano,JP,85.12,scattered clouds,34.3442,132.5894,ホテル コラソン
163,Gazanjyk,TM,86.38,clear sky,39.2446,55.5154,Railway motel
164,Najran,SA,77.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
